Title,Author,Category,Pages,Publisher
Broca's Brain,Sagan Carl,physics,174,
Men of Mathematics,Bell E T,mathematics,217,
Oxford book of Modern Science Writing,Dawkins Richard,science,240,
Justice Judiciary and Democracy,Ranjan Sudhanshu,legal,224,
Arthashastra The,Kautiyla,philosophy,214,
We the People,Palkhivala,philosophy,216,
We the Nation,Palkhivala,philosophy,216,
Courtroom Genius The,Sorabjee,autobiography,217,
Dongri to Dubai,Zaidi Hussain,history,216,
History of England Foundation,Ackroyd Peter,history,197,
City of Djinns,Dalrymple William,history,198,
India's Legal System,Nariman,legal,177,
More Tears to Cry,Sassoon Jean,novel,235,
Ropemaker The,Dickinson Peter,novel,196,
Angels & Demons,Brown Dan,novel,170,
Judge The,,novel,170,
Attorney The,,novel,170,
Prince The,Machiavelli,classic,173,
Eyeless in Gaza,Huxley Aldous,novel,180,
Tales of Beedle the Bard,Rowling J K,novel,184,
Girl with the Dragon Tattoo,Larsson Steig,novel,179,
Girl who kicked the Hornet's Nest,Larsson Steig,novel,179,
Girl who played with Fire,Larsson Steig,novel,179,
Batman Handbook,,comic,270,
Murphy's Law,,psychology,178,
Structure and Randomness,Tao Terence,mathematics,252,
Image Processing with MATLAB,Eddins Steve,signal_processing,241,
Animal Farm,Orwell George,classic,180,
Idiot The,Dostoevsky Fyodor,classic,197,
Christmas Carol A,Dickens Charles,classic,196,
